trial_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
1,2,2,2,1,5,5,2,2,5,2,5,6,7,7,7,6,2,7,6,7,6,5,5,7,6,7,5,2,6,5,6,6,3,6,2,2,2,5,6,2,5,2,2,6
2,6,1,2,2,5,6,2,2,2,2,5,6,7,7,7,6,5,6,6,7,6,5,5,7,6,7,5,2,6,6,5,6,2,5,2,2,2,5,6,2,2,5,3,5
3,2,1,2,1,2,6,2,2,5,2,5,6,7,7,7,6,3,7,6,6,6,2,5,7,6,7,5,2,6,6,5,6,3,5,2,2,2,5,5,2,3,2,2,6
4,2,2,1,1,2,6,2,5,5,2,5,6,7,7,7,6,5,7,6,7,7,2,6,7,6,7,6,2,6,6,6,6,3,2,2,2,1,5,6,2,5,2,3,6
5,2,2,2,1,2,6,2,5,2,2,5,6,7,7,7,5,2,7,6,7,7,2,6,7,7,7,5,2,6,6,5,6,2,5,2,2,1,5,6,2,5,5,2,6
6,2,1,2,2,6,6,2,5,6,5,6,6,7,7,7,5,2,7,6,7,6,2,5,7,6,7,5,2,6,6,5,6,3,5,2,2,2,5,6,2,5,5,2,5
7,2,2,2,2,2,5,2,2,2,2,6,6,7,7,7,6,2,7,6,7,7,5,6,7,6,7,5,5,6,6,5,6,5,5,2,2,2,5,6,2,2,2,2,6
8,2,1,2,2,2,6,2,2,2,2,6,6,7,7,7,5,5,7,6,7,6,2,6,7,6,7,5,5,6,6,6,6,2,5,2,2,2,5,6,2,5,3,2,6
9,2,2,2,1,5,5,1,2,5,2,5,6,7,7,7,5,2,7,6,7,7,5,6,7,6,7,6,3,6,6,5,6,2,5,2,2,1,5,6,2,2,5,2,6
10,2,1,2,2,4,5,2,3,5,2,5,6,7,7,7,6,2,7,6,7,7,5,6,7,6,7,6,2,6,6,5,6,2,2,2,2,1,5,5,2,5,3,2,6
11,2,1,2,2,2,5,2,2,5,2,6,6,7,7,7,5,2,6,6,6,7,5,5,6,6,7,6,5,6,6,6,6,3,5,2,2,1,5,6,2,5,2,2,6
12,2,2,2,1,2,6,2,5,5,2,6,6,7,7,7,6,5,7,6,6,6,2,6,7,6,7,6,2,6,6,5,6,2,5,1,2,1,5,6,2,6,2,2,6
13,2,2,1,1,2,6,2,2,5,2,6,6,7,7,7,6,2,7,6,7,7,5,5,7,6,7,5,2,6,6,5,6,3,5,2,2,2,5,6,2,5,2,2,6
14,5,1,2,2,2,5,2,5,5,2,5,6,7,7,7,5,2,7,6,7,7,5,5,7,6,7,5,2,6,6,5,6,2,5,2,2,2,5,6,2,5,2,3,6
15,6,2,2,2,2,5,2,2,6,2,5,6,7,7,7,6,2,7,6,7,6,2,5,7,6,7,6,2,6,6,5,7,3,5,2,2,2,5,6,2,3,5,2,6
16,2,2,2,2,2,6,2,2,5,2,6,6,7,7,7,6,2,7,6,7,7,2,5,7,6,7,5,2,6,6,6,6,5,5,2,2,1,5,6,2,2,2,2,6
17,2,2,2,2,2,5,2,2,3,2,6,6,7,7,7,6,2,7,6,6,6,5,5,7,7,7,5,2,6,6,5,6,2,5,2,2,2,5,6,2,5,2,5,6
18,5,1,2,1,2,5,2,2,2,2,5,6,7,7,7,6,5,7,6,6,7,2,5,7,6,7,5,2,6,6,5,6,5,6,2,2,2,5,5,2,5,2,2,6
19,2,1,2,1,2,5,2,2,5,2,6,6,7,7,7,5,2,6,6,6,7,2,6,7,6,7,5,2,6,6,5,6,3,2,2,2,1,5,6,2,5,2,5,6
20,5,1,1,1,2,6,2,2,5,2,5,6,7,7,7,5,2,7,6,6,6,2,5,7,6,7,6,2,6,6,5,6,2,2,2,2,1,5,6,2,5,2,2,6
